Ticker,Stock Name,Price Code,Ratios Code,In Market?
ACTI,Activcard Sa Ads,NA,DMDRN/ACTI_ALLFINANCIALRATIOS,Not Active
ACTL,Actel Corp.,NA,DMDRN/ACTL_ALLFINANCIALRATIOS,Not Active
ACTM,ACT Manufacturing,NA,DMDRN/ACTM_ALLFINANCIALRATIOS,Not Active
ACTN,Action Performance,NA,DMDRN/ACTN_ALLFINANCIALRATIOS,Not Active
ACTP,ActionPoint Inc.,NA,DMDRN/ACTP_ALLFINANCIALRATIOS,Not Active
ACTR,Acterna Corp,NA,DMDRN/ACTR_ALLFINANCIALRATIOS,Not Active
ACTS,Actions Semiconductor Co.,GOOG/NASDAQ_ACTS,DMDRN/ACTS_ALLFINANCIALRATIOS,Active
ACTT,ACT Teleconferencing,GOOG/PINK_ACTT,DMDRN/ACTT_ALLFINANCIALRATIOS,Not Active
ACTU,Actuate Corporation,NA,DMDRN/ACTU_ALLFINANCIALRATIOS,Not Active
ACTV,Active Network Inc,GOOG/NYSE_ACTV,DMDRN/ACTV_ALLFINANCIALRATIOS,Not Active
ACTY,Accessity Corp.,NA,DMDRN/ACTY_ALLFINANCIALRATIOS,Not Active
ACU,Acme United Corporation.,GOOG/AMEX_ACU,DMDRN/ACU_ALLFINANCIALRATIOS,Active
ACUP,AccuPoll Holding Corp,NA,DMDRN/ACUP_ALLFINANCIALRATIOS,Not Active
ACUR,Acura Pharmaceuticals,GOOG/NASDAQ_ACUR,DMDRN/ACUR_ALLFINANCIALRATIOS,Active
ACUS,Acusphere Inc,NA,DMDRN/ACUS_ALLFINANCIALRATIOS,Not Active
ACUSD,Acusphere Inc,GOOG/PINK_ACUSD,DMDRN/ACUSD_ALLFINANCIALRATIOS,Active
ACUZD,Accuride Corp,NA,DMDRN/ACUZD_ALLFINANCIALRATIOS,Not Active
ACV,Alberto Culver 'B',NA,DMDRN/ACV_ALLFINANCIALRATIOS,Not Active
ACV/A,Alberto Culver 'A',NA,DMDRN/ACV_A_ALLFINANCIALRATIOS,Not Active
ACVC,Active Voice Corp.,NA,DMDRN/ACVC_ALLFINANCIALRATIOS,Not Active
ACW,Accuride Corporation New,GOOG/NYSE_ACW,DMDRN/ACW_ALLFINANCIALRATIOS,Active
ACX,Arguss Communications Inc.,NA,DMDRN/ACX_ALLFINANCIALRATIOS,Not Active
ACXM,Acxiom Corp.,GOOG/NASDAQ_ACXM,DMDRN/ACXM_ALLFINANCIALRATIOS,Active
ACY,Aerocentury,GOOG/AMEX_ACY,DMDRN/ACY_ALLFINANCIALRATIOS,Active
AD,ADVO Inc.,NA,DMDRN/AD_ALLFINANCIALRATIOS,Not Active
ADAM,adam.com Inc.,NA,DMDRN/ADAM_ALLFINANCIALRATIOS,Not Active
ADAP,Adaptive Broadband,NA,DMDRN/ADAP_ALLFINANCIALRATIOS,Not Active
ADAT,Authentidate Holding,GOOG/NASDAQ_ADAT,DMDRN/ADAT_ALLFINANCIALRATIOS,Active
ADBE,Adobe Systems Incorporated,GOOG/NASDAQ_ADBE,DMDRN/ADBE_ALLFINANCIALRATIOS,Active
ADBI,ADB Systems Intl Inc,NA,DMDRN/ADBI_ALLFINANCIALRATIOS,Not Active
ADBL,Audible Inc,NA,DMDRN/ADBL_ALLFINANCIALRATIOS,Not Active
ADBN,Americana Distribution Inc,GOOG/PINK_ADBN,DMDRN/ADBN_ALLFINANCIALRATIOS,Not Active
ADBY,ADB Systems Intl Inc,NA,DMDRN/ADBY_ALLFINANCIALRATIOS,Not Active
ADBYF,ADB Systems Intl Inc,NA,DMDRN/ADBYF_ALLFINANCIALRATIOS,Not Active
ADC,Agree Realty Corp.,GOOG/NYSE_ADC,DMDRN/ADC_ALLFINANCIALRATIOS,Active
ADCC,Andean Dev Corp,NA,DMDRN/ADCC_ALLFINANCIALRATIOS,Not Active
ADCT,ADC Telecom.,NA,DMDRN/ADCT_ALLFINANCIALRATIOS,Not Active
ADDI,Addison-Davis Diagnostics Inc,NA,DMDRN/ADDI_ALLFINANCIALRATIOS,Not Active
ADDM,ADDvantage Technologies,NA,DMDRN/ADDM_ALLFINANCIALRATIOS,Not Active
ADELQ,Adelphia Communic. 'A',NA,DMDRN/ADELQ_ALLFINANCIALRATIOS,Not Active
